Defaulted container "hyrax-worker" out of: hyrax-worker, service-wait (init)
=== Bulkrax Imports Cleanup ===
DRY_RUN: false
Started: Thu May 28 19:30:21 UTC 2026

DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_69_20250205141258_124/ (189.4 MB, 477d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_69_20250205141258_125/ (189.4 MB, 477d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_69_20250205141258_126/ (189.4 MB, 477d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_69_20250205141258_127/ (189.4 MB, 477d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_69_20250205141258_128/ (189.4 MB, 477d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_69_20250205141258_129/ (189.4 MB, 477d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_69_20250205141258_130/ (189.4 MB, 477d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_69_20250205141258_131/ (189.4 MB, 477d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_69_20250205141258_132/ (189.4 MB, 477d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_69_20250205141258_134/ (189.4 MB, 477d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_69_20250205141258_135/ (189.4 MB, 477d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_69_20250205141258_136/ (189.4 MB, 477d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_69_20250205141258_137/ (189.4 MB, 477d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_69_20250205141258_138/ (189.4 MB, 477d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_69_20250205141258_140/ (189.4 MB, 477d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_69_20250205141258_143/ (189.4 MB, 477d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_69_20250205141258_145/ (189.4 MB, 477d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_69_20250205141258_146/ (189.4 MB, 477d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_69_20250205141258_150/ (189.4 MB, 477d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_69_20250205141258_154/ (189.4 MB, 477d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_69_20250205141258_173/ (189.4 MB, 477d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_69_20250205141258_176/ (189.4 MB, 477d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_69_20250205141258_182/ (189.4 MB, 477d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_69_20250205141258_187/ (189.4 MB, 477d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_69_20250205141258_193/ (189.4 MB, 477d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_69_20250205141258_196/ (189.4 MB, 477d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_70_20250210144133_152/ (217.1 KB, 472d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_70_20250210144133_153/ (217.1 KB, 472d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_70_20250210144133_155/ (217.1 KB, 472d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_70_20250210144133_156/ (217.1 KB, 472d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_70_20250210144133_157/ (217.1 KB, 472d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_70_20250210144133_158/ (217.1 KB, 472d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_70_20250210144133_159/ (217.1 KB, 472d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_70_20250210144133_160/ (217.1 KB, 472d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_70_20250210144133_161/ (217.1 KB, 472d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_70_20250210144133_163/ (217.1 KB, 472d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_70_20250210144133_164/ (217.1 KB, 472d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_70_20250210144133_165/ (217.1 KB, 472d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_70_20250210144133_166/ (217.1 KB, 472d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_70_20250210144133_167/ (217.1 KB, 472d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_70_20250210144133_168/ (217.1 KB, 472d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_70_20250210144133_172/ (217.1 KB, 472d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_70_20250210144133_174/ (217.1 KB, 472d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_70_20250210144133_175/ (217.1 KB, 472d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_70_20250210144133_178/ (217.1 KB, 472d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_70_20250210144133_181/ (217.1 KB, 472d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_70_20250210144133_184/ (217.1 KB, 472d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_70_20250210144133_188/ (217.1 KB, 472d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_70_20250210144133_192/ (217.1 KB, 472d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_70_20250210144133_194/ (217.1 KB, 472d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_70_20250210144133_197/ (217.1 KB, 472d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_70_20250210144133_201/ (217.1 KB, 472d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_71_20250210162822_162/ (232.0 KB, 472d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_72_20250217162129_185/ (252.2 KB, 465d old)
DELETE: /app/samvera/hyrax-webapp/tmp/imports/jewell/import_73_20250217162310_186/ (252.2 KB, 465d old)
